Index,DAG-ID,Send-Outer,Recv-Outer,Latency,Absolute Deadline,Relative Deadline,DAG Preemptions,,,period,strictly
103,3,21511150148,21538293259,27143111,21455181629,32000000,-,,,,
104,1,21610744537,21646106925,35362388,21566006796,48000000,-,,,10300002982,2982
104,2,16410920574,16424050148,13129574,16376939166,14000000,-,,,,
104,3,21611148629,21638290425,27141796,21555175314,32000000,-,,,,
105,1,21710746611,21746107796,35361185,21666004796,48000000,-,,,10400005056,5056
105,2,16460924000,16474023722,13099722,16426943925,14000000,-,,,,
105,3,21711150925,21738290722,27139797,21655174074,32000000,-,,,,
106,1,21810743055,21846104481,35361426,21766006740,48000000,-,,,10500001500,1500
106,2,16510915740,16524044740,13129000,16476938740,14000000,-,,,,
106,3,21811147000,21838286333,27139333,21755176944,32000000,-,,,,
107,1,21910745444,21946109351,35363907,21866004092,48000000,-,,,10600003889,3889
107,2,16560925222,16574025351,13100129,16526938888,14000000,-,,,,
107,3,21911150129,21938290203,27140074,21855172796,32000000,-,,,,
108,1,22010739537,22046095648,35356111,21966008055,48000000,-,,,10699997982,-2018
108,2,16610924018,16624052111,13128093,16576939888,14000000,-,,,,
108,3,22011154277,22038290185,27135908,21955175666,32000000,-,,,,
109,1,22110743944,22146106814,35362870,22065998555,48000000,-,,,10800002389,2389
109,2,16660920259,16674019944,13099685,16626947259,14000000,-,,,,
109,3,22111148277,22138285000,27136723,22055180074,32000000,-,,,,
110,1,22210738296,22246098888,35360592,22166005277,48000000,-,,,10899996741,-3259
110,2,16710919296,16724048777,13129481,16676934851,14000000,-,,,,
110,3,22211152962,22238292537,27139575,22155173685,32000000,-,,,,
111,1,22310745074,22346103611,35358537,22263981277,48000000,-,,,11000003519,3519
111,2,16760915722,16774014740,13099018,16726942518,14000000,-,,,,
111,3,22311148666,22338289629,27140963,22255178370,32000000,-,,,,
112,1,22410744629,22446105796,35361167,22366004240,48000000,-,,,11100003074,3074
112,2,16810925111,16824055129,13130018,16776930388,14000000,-,,,,
112,3,22411148759,22438291444,27142685,22355173648,32000000,-,,,,
113,1,22510742925,22546102574,35359649,22466004444,48000000,-,,,11200001370,1370
113,2,16860923166,16874021277,13098111,16826949555,14000000,-,,,,
113,3,22511147000,22538286129,27139129,22455174314,32000000,-,,,,
114,1,22610740333,22646099351,35359018,22566002629,48000000,-,,,11299998778,-1222
114,2,16910926055,16924055685,13129630,16876937962,14000000,-,,,,
114,3,22611155166,22638295148,27139982,22555172314,32000000,-,,,,
115,1,22710746629,22746106907,35360278,22666000685,48000000,-,,,11400005074,5074
115,2,16960915296,16974013203,13097907,16926949629,14000000,-,,,,
115,3,22711150370,22738291833,27141463,22655180314,32000000,-,,,,
116,1,22810738685,22846094944,35356259,22766006500,48000000,-,,,11499997130,-2870
116,2,17010919314,17024048851,13129537,16976929962,14000000,-,,,,
116,3,22811153981,22838291222,27137241,22755176314,32000000,-,,,,
117,1,22910739370,22946095944,35356574,22865998629,48000000,-,,,11599997815,-2185
117,2,17060915148,17074011296,13096148,17026943722,14000000,-,,,,
117,3,22911154351,22938292481,27138130,22855178777,32000000,-,,,,
118,1,23010745777,23046103296,35357519,22965999259,48000000,-,,,11700004222,4222
118,2,17110920370,17124048500,13128130,17076929703,14000000,-,,,,
118,3,23011149518,23038287833,27138315,22955179481,32000000,-,,,,
119,1,23110738425,23146094648,35356223,23063988444,48000000,-,,,11799996870,-3130
119,2,17160925388,17174022185,13096797,17126943407,14000000,-,,,,
119,3,23111152888,23138292500,27139612,23055175203,32000000,-,,,,
120,1,23210739351,23246100129,35360778,23165997870,48000000,-,,,11899997796,-2204
120,2,17210920166,17224050537,13130371,17176940185,14000000,-,,,,
120,3,23211155462,23238292870,27137408,23155178314,32000000,-,,,,
121,1,23310745037,23346105962,35360925,23266000648,48000000,-,,,12000003482,3482
121,2,17260916907,17274012462,13095555,17226943444,14000000,-,,,,
121,3,23311150166,23338287777,27137611,23255180407,32000000,-,,,,
122,1,23410741481,23446099018,35357537,23366005185,48000000,-,,,12099999926,-74
122,2,17310924759,17324055296,13130537,17276928796,14000000,-,,,,
122,3,23411156314,23438296833,27140519,23355175500,32000000,-,,,,
123,1,23510740740,23546099685,35358945,23466002000,48000000,-,,,12199999185,-815
123,2,17360920777,17374021666,13100889,17326949148,14000000,-,,,,
123,3,23511155555,23538292740,27137185,23455182277,32000000,-,,,,
124,1,23610747425,23646108129,35360704,23566000777,48000000,-,,,12300005870,5870
