Index,DAG-ID,Send-Outer,Recv-Outer,Latency,Absolute Deadline,Relative Deadline,DAG Preemptions
65,2,17711038351,17857457481,146419130,17812035129,101000000,-
65,3,17711304074,17753427518,42123444,17678345944,63000000,-
66,1,17810887129,17869735574,58848445,17798946314,85000000,-
66,2,17811035870,17959452370,148416500,17912032629,101000000,-
66,3,17811302055,17853423500,42121445,17778346888,63000000,-
67,1,17910885240,17969800777,58915537,17898942851,85000000,-
67,2,17911034185,18059446870,148412685,17970740759,101000000,-
67,3,17911300944,17953424388,42123444,17878344703,63000000,-
68,1,18010893462,18073439537,62546075,17998942333,85000000,-
68,2,18011031611,18160564814,149533203,18050808703,101000000,-
68,3,18011308574,18053434740,42126166,17978345185,63000000,-
69,1,18110891018,18176495277,65604259,18098936814,85000000,-
69,2,18111029092,18264544222,153515130,18152453000,101000000,-
69,3,18111306129,18153429666,42123537,18078352407,63000000,-
70,1,18210886870,18278535814,67648944,18198944611,85000000,-
70,2,18211035351,18359571592,148536241,18255555500,101000000,-
70,3,18211311370,18253434777,42123407,18178349740,63000000,-
71,1,18310890648,18373562092,62671444,18298938555,85000000,-
71,2,18311028592,18459457944,148429352,18354503185,101000000,-
71,3,18311306296,18353433555,42127259,18278355037,63000000,-
72,1,18410890222,18470603148,59712926,18398947148,85000000,-
72,2,18411028314,18559445314,148417000,18454562148,101000000,-
72,3,18411304796,18453428500,42123704,18378350796,63000000,-
73,1,18510890111,18573438129,62548018,18498938907,85000000,-
73,2,18511028037,18660561796,149533759,18551608462,101000000,-
73,3,18511305277,18553430759,42125482,18478348759,63000000,-
74,1,18610890111,18676491425,65601314,18598946703,85000000,-
74,2,18611027870,18779550277,168522407,18652448833,101000000,-
74,3,18611304666,18653426740,42122074,18578349611,63000000,-
75,1,18710892351,18773525944,62633593,18698943740,85000000,-
75,2,18711030296,18876620537,165590241,18755552777,101000000,-
75,3,18711307314,18753432055,42124741,18678348648,63000000,-
76,1,18810887555,18870603814,59716259,18798948555,85000000,-
76,2,18811036518,18959455481,148418963,18854534333,101000000,-
76,3,18811302166,18853422425,42120259,18778351296,63000000,-
77,1,18910887388,18970667555,59780167,18898943592,85000000,-
77,2,18911036277,19059457925,148421648,19012033111,101000000,-
77,3,18911302277,18953426203,42123926,18878344722,63000000,-
78,1,19010890629,19069557592,58666963,18998943129,85000000,-
78,2,19011039240,19159461222,148421982,19051673425,101000000,-
78,3,19011304666,19053429629,42124963,18978345777,63000000,-
79,1,19110892685,19169538666,58645981,19098946888,85000000,-
79,2,19111030518,19259442444,148411926,19150563333,101000000,-
79,3,19111307500,19153432833,42125333,19078348740,63000000,-
80,1,19210886537,19273434703,62548166,19198949407,85000000,-
80,2,19211035481,19360565555,149530074,19250546074,101000000,-
80,3,19211301296,19253429240,42127944,19178351722,63000000,-
81,1,19310892740,19376496814,65604074,19298931740,85000000,-
81,2,19311030722,19479554166,168523444,19352447092,101000000,-
81,3,19311307907,19353431518,42123611,19278345592,63000000,-
82,1,19410895333,19473529314,62633981,19398947037,85000000,-
82,2,19411033277,19560554222,149520945,19455556259,101000000,-
82,3,19411310185,19453437222,42127037,19378351629,63000000,-
83,1,19510890240,19576485425,65595185,19498951629,85000000,-
83,2,19511028240,19679548722,168520482,19552454000,101000000,-
83,3,19511305259,19553428185,42122926,19478354462,63000000,-
84,1,19610890555,19673524296,62633741,19598947000,85000000,-
84,2,19611028444,19770609759,159581315,19655545111,101000000,-
84,3,19611305537,19653432351,42126814,19578347851,63000000,-
85,1,19710885166,19770599962,59714796,19698944537,85000000,-
85,2,19711034407,19876590407,165556000,19754531611,101000000,-
85,3,19711300185,19753422611,42122426,19678349962,63000000,-
86,1,19810890222,19870575333,59685111,19798941092,85000000,-
86,2,19811028018,19970648277,159620259,19851607425,101000000,-
86,3,19811304555,19853430370,42125815,19778343703,63000000,-
87,1,19910894055,19970638740,59744685,19898946648,85000000,-
87,2,19911032111,20070597666,159565555,20012028907,101000000,-
87,3,19911308407,19953428092,42119685,19878348314,63000000,-
88,1,20010891148,20070586277,59695129,19998950462,85000000,-
88,2,20011028981,20159461129,148432148,20051646240,101000000,-
88,3,20011305092,20053431462,42126370,19978350703,63000000,-
89,1,20110892277,20170584796,59692519,20098948000,85000000,-
89,2,20111030277,20257462777,146432500,20151593796,101000000,-
89,3,20111307759,20153433444,42125685,20078349629,63000000,-
90,1,20210888962,20269561611,58672649,20198949277,85000000,-
90,2,20211037629,20359460944,148423315,20251593944,101000000,-
90,3,20211302611,20253428259,42125648,20178352388,63000000,-
91,1,20310892203,20369629518,58737315,20298946203,85000000,-
91,2,20311030185,20475553277,164523092,20370566851,101000000,-
91,3,20311307203,20353433018,42125815,20278346351,63000000,-
92,1,20410887129,20469538222,58651093,20398949055,85000000,-
92,2,20411036333,20559454092,148417759,20450637222,101000000,-
92,3,20411302018,20453426592,42124574,20378351814,63000000,-
93,1,20510888759,20569601518,58712759,20498930648,85000000,-
93,2,20511037518,20659458740,148421222,20612034333,101000000,-
93,3,20511302611,20553425962,42123351,20478346240,63000000,-
94,1,20610890944,20669536444,58645500,20598938537,85000000,-
94,2,20611028537,20775551814,164523277,20650606796,101000000,-
94,3,20611304796,20653430444,42125648,20578346129,63000000,-
95,1,20710892870,20769536870,58644000,20698946518,85000000,-
95,2,20711030870,20875618833,164587963,20750544129,101000000,-
95,3,20711307888,20753432537,42124649,20678349259,63000000,-
96,1,20810892944,20869603333,58710389,20798949518,85000000,-
96,2,20811030851,20959454518,148423667,20912027666,101000000,-
96,3,20811307722,20853429629,42121907,20778352314,63000000,-
97,1,20910888222,20969667759,58779537,20898949148,85000000,-
97,2,20911037074,21075472388,164435314,21012033907,101000000,-
97,3,20911303129,20953426925,42123796,20878350481,63000000,-
98,1,21010887629,21069457259,58569630,20998944407,85000000,-
98,2,21011036185,21159452574,148416389,21050677333,101000000,-
98,3,21011302055,21053428425,42126370,20978345796,63000000,-
99,1,21110886444,21169522462,58636018,21098942092,85000000,-
99,2,21111035370,21275480907,164445537,21212032222,101000000,-
99,3,21111301074,21153424907,42123833,21078346518,63000000,-
100,1,21210895759,21269465814,58570055,21198943518,85000000,-
100,2,21211033481,21359456925,148423444,21250530333,101000000,-
100,3,21211309481,21253434018,42124537,21178343944,63000000,-
