Index,DAG-ID,Send-Outer,Recv-Outer,Latency,Absolute Deadline,Relative Deadline
90,3,20211092333,20361062703,149970370,20260173722,101000000
91,1,20310805000,20379164703,68359703,20298849981,85000000
91,2,15760952222,15810070092,49117870,15772983000,58000000
91,3,20311096444,20475014296,163917852,20361082703,101000000
92,1,20410804907,20479173685,68368778,20398857388,85000000
92,2,15810954574,15860070333,49115759,15822974925,58000000
92,3,20411096222,20558091777,146995555,20460168000,101000000
93,1,20510804500,20579172166,68367666,20498857074,85000000
93,2,15860959037,15910075388,49116351,15872981185,58000000
93,3,20511096185,20661144333,150048148,20561084000,101000000
94,1,20610804018,20681129981,70325963,20598856388,85000000
94,2,15910958481,15960078259,49119778,15922981074,58000000
94,3,20611095351,20775012425,163917074,20661084759,101000000
95,1,20710799388,20779165944,68366556,20698844222,85000000
95,2,15960952703,16010068388,49115685,15972981870,58000000
95,3,20711090648,20875013074,163922426,20762131722,101000000
96,1,20810799481,20879170962,68371481,20798838703,85000000
96,2,16010951759,16060068870,49117111,16022975962,58000000
96,3,20811090462,20975010129,163919667,20861082370,101000000
97,1,20910798777,20979169685,68370908,20898838685,85000000
97,2,16060955425,16110068111,49112686,16072974814,58000000
97,3,20911089407,21061065222,149975815,20961082000,101000000
98,1,21010796481,21079168962,68372481,20998840574,85000000
98,2,16110952277,16160071703,49119426,16122978129,58000000
98,3,21011098814,21175014925,163916111,21061081129,101000000
99,1,21110800814,21179166740,68365926,21098835518,85000000
99,2,16160957870,16210065777,49107907,16172978981,58000000
99,3,21111092314,21275012333,163920019,21160173111,101000000
100,1,21210800611,21279163000,68362389,21198850129,85000000
100,2,16210951759,16260081981,49130222,16222979796,58000000
100,3,21211091907,21375013222,163921315,21261082648,101000000
101,1,21310800185,21379164203,68364018,21298853092,85000000
101,2,16260956425,16310066740,49110315,16272977685,58000000
101,3,21311090962,21475012870,163921908,21361081833,101000000
102,1,21410797740,21479173203,68375463,21398839962,85000000
102,2,16310952648,16360076333,49123685,16322979018,58000000
102,3,21411088759,21575024092,163935333,21461083000,101000000
103,1,21510800796,21579171629,68370833,21498836629,85000000
103,2,16360952629,16410068666,49116037,16372977814,58000000
103,3,21511092259,21661068574,149976315,21561081222,101000000
104,1,21610799925,21679164962,68365037,21598853259,85000000
104,2,16410951925,16460069055,49117130,16422974944,58000000
104,3,21611091148,21775016537,163925389,21661079518,101000000
105,1,21710799888,21779169166,68369278,21698838962,85000000
105,2,16460955074,16510063351,49108277,16472974888,58000000
105,3,21711090925,21875023888,163932963,21760169018,101000000
106,1,21810800870,21879172277,68371407,21798852018,85000000
106,2,16510959111,16560079944,49120833,16522977611,58000000
106,3,21811092277,21975014092,163921815,21861083555,101000000
107,1,21910799555,21979164000,68364445,21898853055,85000000
107,2,16560954240,16610064518,49110278,16572982703,58000000
107,3,21911090611,22061067388,149976777,21961079222,101000000
108,1,22010798685,22079171240,68372555,21998838351,85000000
108,2,16610950148,16660065518,49115370,16622977388,58000000
108,3,22011090000,22161066018,149976018,22061083444,101000000
109,1,22110800962,22179173351,68372389,22098850481,85000000
109,2,16660951851,16710062092,49110241,16672976148,58000000
109,3,22111092462,22275023370,163930908,22160174925,101000000
110,1,22210796222,22279164592,68368370,22198853574,85000000
110,2,16710959166,16760078444,49119278,16722976592,58000000
110,3,22211098537,22375015018,163916481,22260175277,101000000
111,1,22310799277,22379168888,68369611,22298835222,85000000
111,2,16760955037,16810065740,49110703,16772982444,58000000
111,3,22311090685,22475015277,163924592,22361079907,101000000
112,1,22410802629,22479173259,68370630,22398838222,85000000
112,2,16810951592,16860071518,49119926,16822977111,58000000
112,3,22411093574,22575020388,163926814,22461083592,101000000
113,1,22510800407,22579171444,68371037,22498849000,85000000
113,2,16860959296,16910069407,49110111,16872977629,58000000
113,3,22511091629,22675012944,163921315,22561083555,101000000
114,1,22610796518,22679163851,68367333,22598847240,85000000
114,2,16910954703,16960069666,49114963,16922981629,58000000
114,3,22611099018,22775014388,163915370,22661077740,101000000
115,1,22710797333,22779171129,68373796,22698835703,85000000
115,2,16960955407,17010065240,49109833,16972980388,58000000
115,3,22711088611,22861062666,149974055,22761081703,101000000
116,1,22810800407,22879169314,68368907,22798849629,85000000
116,2,17010950370,17060067722,49117352,17022977462,58000000
116,3,22811091611,22975019166,163927555,22861082037,101000000
117,1,22910803370,22979160851,68357481,22898843333,85000000
117,2,17060953685,17110069000,49115315,17072976018,58000000
117,3,22911095000,23075017555,163922555,22960173407,101000000
118,1,23010804000,23079170203,68366203,22998855462,85000000
118,2,17110955185,17160074537,49119352,17122975944,58000000
118,3,23011095351,23175015648,163920297,23061086629,101000000
119,1,23110803314,23179167907,68364593,23098856000,85000000
119,2,17160952092,17210064240,49112148,17172977833,58000000
119,3,23111094666,23275014944,163920278,23161085222,101000000
120,1,23210802111,23279167777,68365666,23198842574,85000000
120,2,17210949240,17260075888,49126648,17222974314,58000000
120,3,23211093518,23358093407,146999889,23261074870,101000000
121,1,23310803962,23379169537,68365575,23298854537,85000000
121,2,17260952222,17310062055,49109833,17272974981,58000000
121,3,23311095166,23461147370,150052204,23361080462,101000000
122,1,23410802796,23481133185,70330389,23398855444,85000000
